Campaign,Impressions,Clicks,Cost,Avg. CPC,Avg. position,Day,Conversions
G|BR_Brand-ES@MX,2,1,12190000,12190000,1.0,2016-09-22,0.0
G|BR_Brand-ES@MX,6,2,15250000,7625000,1.2,2016-09-22,0.0
G|BR_Brand-ES@MX,11,3,6580000,2193333,1.7,2016-09-23,0.0
G|NB_Competencia-ES@MX,1,0,0,0,1.0,2016-09-22,0.0
G|NB_Competencia-ES@MX,1,0,0,0,1.0,2016-09-23,0.0
G|NB_Competencia-ES@MX,1,0,0,0,1.0,2016-09-21,0.0
G|NB_Lentes de Contacto-ES@MX,8,1,16030000,16030000,1.8,2016-09-23,0.0
G|NB_Pupilentes-ES@MX,8,1,10200000,10200000,1.0,2016-09-22,0.0
G|NB_Lentes de Contacto-ES@MX,6,2,32250000,16125000,1.2,2016-09-20,0.0
G|NB_Lentes de Contacto-ES@MX,3,2,32700000,16350000,1.0,2016-09-22,0.0
G|NB_Pupilentes-ES@MX,1,0,0,0,1.0,2016-09-21,0.0
G|NB_Pupilentes-ES@MX,2,0,0,0,1.0,2016-09-20,0.0
G|NB_Lentes de Contacto-ES@MX,1,0,0,0,1.0,2016-09-21,0.0
G|NB_Lentes de Contacto-ES@MX,11,0,0,0,1.5,2016-09-21,0.0
G|NB_Pupilentes-ES@MX,1,0,0,0,1.0,2016-09-23,0.0
G|NB_Lentes de Contacto-ES@MX,1,0,0,0,1.0,2016-09-20,0.0
G|NB_Competencia-ES@MX,1,0,0,0,1.0,2016-09-23,0.0
G|NB_Competencia-ES@MX,1,0,0,0,1.0,2016-09-21,0.0
